Program,enwik8,enwik8 ratio,enwik8 decomp,enwik9,enwik9 ratio,enwik9 decomp,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
runcoder1,46883939,0.46883939,7313894484,458125932,0.458125932,71.467645392,5488,s,458131420,140,156,4,o1,26
data-shrinker 23Mar2012,51658517,0.51658517,206634068,459825318,0.459825318,1.839301272,3706,s,459829024,14,4,2,LZ77,26
lzwc_bitwise 0.7,46639414,0.46639414,6249681476,463884550,0.46388455,62.1605297,4183,x,463888733,123,134,71,LZW,26
exdupe 0.3.3,53717422,0.53717422,268587110,478788378,0.478788378,2.39394189,1092986,x,479881364,27,5,1000,LZ77,48
lzv 0.1.0,54950847,0.54950847,142872202.2,488436027,0.488436027,1.2699336702,10385,x,488446412,4,2.6,3,LZ77,48
FastLZ Jun 12 2007,54658924,0.54658924,710566012,493066558,0.493066558,6.409865254,7065,xd,493073623,18,13,1,LZ77,
sharc 0.9.11b     -c2,53175042,0.53175042,744450588,494421068,0.494421068,6.921894952,81001,s,494502069,15,14,6,LZP,26
flzp v1,57366279,0.57366279,2179918602,497535428,0.497535428,18.906346264,3942,s,497539370,78,38,8,LZP,
alba 0.5.1        cd,52728620,0.5272862,527286200,515760096,0.515760096,5.15760096,4870,s,515764966,239,10,4,BPE,48
lzpgt6,56113248,0.56113248,280566240,522877083,0.522877083,2.614385415,27136,x,522904219,6,5,6,LZP,95
snappy 1.0.1,58350605,0.58350605,700207260,527772054,0.527772054,6.333264648,23844,s,527795898,25,12,0.1,LZ77,26
bpe               5000 4096 200 3,53906667,0.53906667,1509386676,532250688,0.532250688,14.903019264,1037,sd,532251725,639,28,0.5,Dict,26
kwc,54097740,0.5409774,7844172300,532622518,0.532622518,77.23026511,15186,x,532637704,438,145,668,Dict,26
bpe2 v3,55289197,0.55289197,7298174004,542748980,0.54274898,71.64286536,2979,s,542751959,518,132,0.5,Dict,26
fpaq0f2,56916872,0.56916872,11781792504,558645708,0.558645708,115.639661556,3066,x,558648769,222,207,0.4,o0,
ppp,61657971,0.61657971,3637820289,579352307,0.579352307,34.181786113,1472,s,579353779,80,59,1,SR,
ksc               4,59511259,0.59511259,471150637503,580557413,0.580557413,4596.273038721,13507,x,580570920,40050,7917,1700,SR,48
lzbw1 0.8,67620436,0.67620436,811445232,590235688,0.590235688,7.082828256,21751,x,590257439,15,12,55,LZP,26
lzp2 0.7c,67909076,0.67909076,543272608,598076882,0.598076882,4.784615056,40819,x,598117701,11,8,15,LZP,26
NTFS              LZNT1,76955648,0.76955648,692600832,636870656,0.636870656,5.731835904,0,,636870656,10,9,0.1,LZ77,26
shindlet_fs,62890267,0.62890267,6477697501,637390277,0.637390277,65.651198531,1275,xd,637391552,113,103,0.6,o0,
arb255,63501996,0.63501996,163454137704,644561595,0.644561595,1659.10154553,4871,sd,644566466,2551,2574,1.6,o0,
compact,63862371,0.63862371,10473428844,648370029,0.648370029,106.332684756,3600,sd,648373629,216,164,0.2,o0,
TinyLZP 0.1,79220546,0.79220546,3010380748,694274932,0.694274932,26.382447416,2811,s,694277743,32,38,10,LZP,26
