Program,enwik8,ratio,decomp vs size,enwik9,ratio,decomp vs size,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
flashzip 1.0.0    -mx7 -b7,23869034,23.869034,195647.819672131,202363445,0.202363445,1658716.76229508,123053,x,202486498,1296,122,802,ROLZ,26
lzham 1.0         -d29 -x,25002070,25.00207,3788192.42424242,202237199,0.202237199,30641999.8484849,191600,s,202428799,1096,6.6,7800,LZ77,70
csarc 3.3         -m5 -d1024m,24516202,24.516202,1114372.81818182,203995005,0.203995005,9272500.22727273,69848,s,204064853,621,22,2463,LZ77,48
packet 1.9        -mx -b512 -h8,24968492,24.968492,1783463.71428571,204195438,0.204195438,14585388.4285714,261967,x,204457405,974,14,2824,LZ77,48
uharc 0.6b        -mx -md32768,23911123,23.911123,17978.2879699248,208026696,0.208026696,156411.04962406,73608,xd,208100304,1666,1330,50,PPM,
TarsaLZP Jan 29 2012,24751389,24.751389,#DIV/0!,208867187,0.208867187,#DIV/0!,13081,s,208880268,203,,~2000,LZP,54
GRZipII 0.2.4     -b8m,23846878,23.846878,110402.212962963,208993966,0.208993966,967564.657407407,41645,s,209035641,312,216,58,BWT,
4x4 0.2a          4t (grzip:m1:h18),23833244,23.833244,99305.1833333333,208787642,0.208787642,869948.508333333,317097,x,209104739,386,240,269,BWT,
rzm 0.07h,24361070,24.36107,300753.950617284,210126103,0.210126103,2594149.41975309,17667,x,210143770,2336,81,160,ROLZ,
pim 2.50          best,24303638,24.303638,31811.0445026178,210124895,0.210124895,275032.585078534,330901,x,210455796,764,764,88,PPM,
CTW 0.1           -d6 -n16M -f16M,23670293,23.670293,1212.36903298504,211995206,0.211995206,10858.1851055112,43247,x,212038452,19221,19524,144,CM,
boa 0.58b         -m15,24322643,24.322643,5932.35195121951,213845481,0.213845481,52157.4343902439,55813,x,213901294,3953,4100,17,PPM,
yxz 0.11          -m9 -b7 -h6,25754856,25.754856,334478.649350649,214317684,0.214317684,2783346.54545455,131062,x,214448746,642,77,1590,LZ,26
zstd 0.6.0        -22 --ultra,25405601,25.405601,11548000.4545455,215674670,0.21567467,98033940.9090909,69687,s,215744357,701,2.2,792,LZ77,76
tornado 0.6       -16,25768105,25.768105,2863122.77777778,217749028,0.217749028,24194336.4444444,83694,s,217832722,1482,9,1290,LZ77,48
LZPXj 1.2h        9,25205783,25.205783,35154.5090655509,217880584,0.217880584,303878.080892608,4853,s,217885437,783,717,1316,PPM,
scmppm 0.93.3     -l 9,25198832,25.198832,39128.6211180124,217867392,0.217867392,338303.403726708,37043,s,217904435,708,644,20,PPM,
acb 2.00c         u,25063656,25.063656,2303.00983184784,218473968,0.218473968,20074.7926123312,38976,x,218512944,10656,10883,16,LZ77,26
crushm,25013576,25.013576,38541.719568567,218656416,0.218656416,336912.813559322,30097,x,218686513,617,649,39,CM,26
PX v1.0,24971871,24.971871,13804.2404643449,219091398,0.219091398,121111.883913765,3054,s,219094452,1838,1809,66,CM,3
DGCA 1.10         default+SFX,25203248,25.203248,93345.362962963,219655072,0.219655072,813537.303703704,0,xd,219655072,858,270,76,,
Squeez 5.20.4600  sqx2.0 32MB Ultra,25118441,25.118441,216538.284482759,220004873,0.220004873,1896593.73275862,91019,xd,220095892,2575,116,365,,
fpaq2,25287775,25.287775,1252.73828395918,221242386,0.221242386,10960.1895373031,3429,s,221245815,20183,20186,131,CM,
TinyCM 0.1        9,25913605,25.913605,19483.9135338346,221773542,0.221773542,166747.02406015,12553,x,221786095,1342,1330,1083,CM,26
dmc               c 1800000000,25320517,25.320517,35118.6088765603,222605607,0.222605607,308745.640776699,2220,s,222607827,676,721,1800,DMC,
lza 0.82b         -mx9 -b7 -h7,26396613,26.396613,2721300.30927835,222808457,0.222808457,22969944.0206186,285766,x,223094223,449,9.7,2000,LZ77,48
brotli 18-Feb-2016 -q 11 -w 24,25764698,25.764698,4366897.9661017,223597884,0.223597884,37897946.440678,542385,s,224140269,3400,5.9,437,LZ77,48
szip 1.12a        -b41o16,26120472,26.120472,90382.2560553633,227586463,0.227586463,787496.411764706,31708,x,227618171,1191,289,21,BWT,26
balz 1.13         ex,26421416,26.421416,139060.084210526,228337644,0.228337644,1201777.07368421,49024,x,228286668,3700,190,206,ROLZ,
lzpm 0.11         9,26501542,26.501542,464939.333333333,229083971,0.229083971,4019017.03508772,46824,x,229130795,15395,57,740,ROLZ,
qazar 0.0pre5     -l7 -d9 -x7,26455170,26.45517,29296.976744186,229846871,0.229846871,254536.955703212,71959,x,229918830,5738,903,105,LZP,
KuaiZip 2.3.2 x86,25895915,25.895915,550976.914893617,227905650,0.22790565,4849056.38297872,3857649,x,231763299,1061,47,197,LZ77,26
qc 0.050          -8,26763343,26.763343,17806.6154357951,232784501,0.232784501,154879.907518297,46100,x,232830601,8218,1503,151,,
ppms J            -o5,26310248,26.310248,74322.7344632768,233442414,0.233442414,659441.847457627,16467,x,233458881,330,354,1.8,PPM,
dzo beta,26616115,26.616115,167396.949685535,235056859,0.235056859,1478345.02515723,618883,x,235675742,1088,159,200,LZ77,26
